Feature,Importance
num__parking_ratio,0.24557912
cat__lead_time_category_last_minute,0.10697097
cat__room_type_P,0.06421993
cat__market_segment_Online TA,0.043065127
cat__country_x_SPA,0.03697994
cat__country_x_DEU,0.017288528
cat__country_x_FRA,0.015024862
cat__country_x_PHL,0.014769297
cat__lead_time_category_long,0.013481348
cat__country_x_BEL,0.013055503
num__required_car_parking_spaces,0.011770819
cat__country_x_NLD,0.011497811
cat__market_segment_Offline TA/TO,0.011449203
cat__country_x_GBR,0.010817943
cat__country_x_missing,0.0106409155
cat__price_category_very_low,0.010059349
cat__price_category_low,0.009741169
cat__country_x_ITA,0.009610436
cat__board_SC,0.009392995
cat__country_x_POR,0.008974801
cat__price_category_missing,0.008728907
cat__country_x_IRL,0.008220963
cat__board_HB,0.008072912
num__lead_time,0.0077128536
cat__distribution_channel_TA/TO,0.0076320395
cat__market_segment_Direct,0.007348912
cat__price_category_very_high,0.0073312535
cat__price_category_medium,0.0069151535
cat__country_x_AUT,0.0067504486
cat__market_segment_Groups,0.006538365
cat__stay_duration_category_1_night,0.0064540775
cat__price_category_high,0.0061084917
cat__lead_time_category_medium,0.0058699725
cat__distribution_channel_GDS,0.005833415
num__stay_nights,0.00557752
cat__continent_customer_América del Norte,0.005544491
cat__stay_duration_category_2-3_nights,0.0054273093
cat__board_BB,0.005301237
cat__country_x_SWE,0.0052257716
num__special_requests,0.0052253106
cat__room_type_F,0.00522253
cat__room_type_A,0.0050193975
cat__lead_time_category_short,0.0048878975
cat__market_segment_Corporate,0.0048544286
cat__country_x_POL,0.0046588634
cat__continent_customer_Europa,0.0046296045
cat__distribution_channel_missing,0.004550354
cat__distribution_channel_Corporate,0.004515644
cat__country_x_FIN,0.0043013375
cat__room_type_B,0.0041978457
cat__stay_duration_category_4-7_nights,0.004196722
cat__room_type_D,0.0041573327
cat__country_x_CHN,0.004120913
cat__country_x_AGO,0.004116112
num__avg_review,0.0039984067
num__special_requests_ratio,0.003960608
cat__board_missing,0.0039512687
cat__continent_customer_Desconocido,0.0039040481
cat__country_x_CHE,0.0038837092
num__total_rooms,0.0037268405
cat__country_x_NOR,0.0037005767
cat__country_x_LUX,0.0036887813
cat__continent_customer_América del Sur,0.0034160903
cat__hotel_type_Resort Hotel,0.003384172
cat__continent_customer_Asia,0.0033200262
cat__room_type_G,0.003121936
cat__lead_time_category_very_long,0.0031070674
num__total_guests,0.0030830456
cat__distribution_channel_Direct,0.0030669298
cat__stay_duration_category_15+_nights,0.0029168327
cat__stay_duration_category_missing,0.0029001164
cat__hotel_type_City Hotel,0.0028389741
cat__room_type_E,0.0027983785
cat__country_x_ARG,0.0027968886
cat__market_segment_Complementary,0.002794097
num__lead_price_interaction,0.002776261
cat__continent_customer_África,0.002749489
cat__country_x_DNK,0.0027379415
cat__country_x_USA,0.0026727521
cat__country_x_BRA,0.002653398
num__num_assets,0.0026216644
cat__country_x_JPN,0.0025516492
cat__country_y_POR,0.0024401299
cat__market_segment_missing,0.0024071895
num__price_per_night,0.0022173277
cat__country_x_AUS,0.0021972915
num__guests_price_interaction,0.0021080405
num__rate,0.0020120102
num__price_per_person,0.0019958308
cat__continent_customer_Otros,0.001950267
cat__country_y_FRA,0.0018773408
num__price_length_interaction,0.0018275747
cat__country_x_RUS,0.0017268517
cat__room_type_C,0.001720581
cat__country_x_ARE,0.001700929
cat__country_y_SPA,0.001580826
cat__country_x_MAC,0.001478945
cat__country_x_ROU,0.0014552714
cat__country_x_HUN,0.0013230351
cat__country_x_CN,0.0012778655
cat__stay_duration_category_8-14_nights,0.0012540472
cat__continent_customer_Oceanía,0.0012195805
cat__country_x_CZE,0.0011264443
cat__country_x_ISR,0.0010442516
cat__country_x_TUR,0.0009892117
cat__country_x_MAR,0.0009758096
cat__market_segment_Aviation,0.0006668498
cat__country_x_GRC,0.00066604995
cat__country_x_SVN,0.0
cat__country_x_SYC,0.0
cat__country_x_THA,0.0
cat__country_x_SVK,0.0
cat__country_x_SYR,0.0
cat__country_x_SUR,0.0
cat__country_x_STP,0.0
cat__country_x_TGO,0.0
cat__country_x_UZB,0.0
cat__country_x_TMP,0.0
cat__country_x_TUN,0.0
cat__country_x_TWN,0.0
cat__country_x_UGA,0.0
cat__country_x_UKR,0.0
cat__country_x_URY,0.0
cat__country_x_VEN,0.0
cat__country_x_VNM,0.0
cat__country_x_ZAF,0.0
cat__country_x_ZMB,0.0
cat__country_x_ZWE,0.0
cat__room_type_L,0.0
cat__room_type_H,0.0
cat__distribution_channel_Undefined,0.0
cat__country_x_SRB,0.0
cat__country_x_MOZ,0.0
cat__country_x_SGP,0.0
cat__country_x_SEN,0.0
cat__country_x_CUB,0.0
cat__country_x_CYM,0.0
cat__country_x_CYP,0.0
cat__country_x_DOM,0.0
cat__country_x_DZA,0.0
cat__country_x_ECU,0.0
cat__country_x_EGY,0.0
cat__country_x_EST,0.0
cat__country_x_ETH,0.0
cat__country_x_GAB,0.0
cat__country_x_GEO,0.0
cat__country_x_GHA,0.0
cat__country_x_GIB,0.0
cat__country_x_GNB,0.0
cat__country_x_HKG,0.0
cat__country_x_HRV,0.0
cat__country_x_IDN,0.0
cat__country_x_CRI,0.0
cat__country_x_CPV,0.0
cat__country_x_COL,0.0
cat__country_x_BGD,0.0
cat__board_FB,0.0
cat__board_Undefined,0.0
cat__country_x_ALB,0.0
cat__country_x_AND,0.0
cat__country_x_ARM,0.0
cat__country_x_AZE,0.0
cat__country_x_BEN,0.0
cat__country_x_BGR,0.0
cat__country_x_CMR,0.0
cat__country_x_BIH,0.0
cat__country_x_BLR,0.0
cat__country_x_BOL,0.0
cat__country_x_BRB,0.0
cat__country_x_CAF,0.0
cat__country_x_CHL,0.0
cat__country_x_CIV,0.0
cat__country_x_IND,0.0
cat__country_x_IRN,0.0
cat__country_x_IRQ,0.0
cat__country_x_OMN,0.0
cat__country_x_MUS,0.0
cat__country_x_MWI,0.0
cat__country_x_MYS,0.0
cat__country_x_NCL,0.0
cat__country_x_NGA,0.0
cat__country_x_NPL,0.0
cat__country_x_NZL,0.0
cat__country_x_PAK,0.0
cat__country_x_MLT,0.0
cat__country_x_PER,0.0
cat__country_x_PRI,0.0
cat__country_x_PRY,0.0
cat__country_x_QAT,0.0
cat__country_x_RWA,0.0
cat__country_x_SAU,0.0
cat__country_x_SDN,0.0
cat__country_x_MNE,0.0
cat__country_x_MKD,0.0
cat__country_x_ISL,0.0
cat__country_x_KWT,0.0
cat__country_x_JAM,0.0
cat__country_x_JEY,0.0
cat__country_x_JOR,0.0
cat__country_x_KAZ,0.0
cat__country_x_KEN,0.0
cat__country_x_KHM,0.0
cat__country_x_KOR,0.0
cat__country_x_LBN,0.0
cat__country_x_MEX,0.0
cat__country_x_LBY,0.0
cat__country_x_LIE,0.0
cat__country_x_LKA,0.0
cat__country_x_LTU,0.0
cat__country_x_LVA,0.0
cat__country_x_MCO,0.0
cat__country_x_MDV,0.0
cat__continent_hotel_Europa,0.0
